PCE10,WF3,P3HT,PCBM,oIDTBR,degradation
1.0,0.0,0.0,0.0,0.0,0.189175
0.0,0.0,1.0,0.0,0.0,0.113558
0.0,0.0,0.0,0.0,1.0,0.02218
0.9,0.0,0.1,0.0,0.0,0.176849
0.8,0.0,0.2,0.0,0.0,0.166224
0.7,0.0,0.3,0.0,0.0,0.159511
0.6,0.0,0.4,0.0,0.0,0.161903
0.5,0.0,0.5,0.0,0.0,0.160524
0.4,0.0,0.6,0.0,0.0,0.128765
0.3,0.0,0.7,0.0,0.0,0.096747
0.2,0.0,0.8,0.0,0.0,0.096367
0.1,0.0,0.9,0.0,0.0,0.112567
0.9,0.0,0.0,0.1,0.0,0.109765
0.8,0.0,0.0,0.2,0.0,0.090533
0.7,0.0,0.0,0.3,0.0,0.071424
0.6,0.0,0.0,0.4,0.0,0.067311
0.5,0.0,0.0,0.5,0.0,0.061573
0.4,0.0,0.0,0.6,0.0,0.051915
0.3,0.0,0.0,0.7,0.0,0.045523
0.2,0.0,0.0,0.8,0.0,0.025747
0.1,0.0,0.0,0.9,0.0,0.004447
0.1,0.0,0.0,0.0,0.9,0.051793
0.2,0.0,0.0,0.0,0.8,0.100056
0.3,0.0,0.0,0.0,0.7,0.117489
0.4,0.0,0.0,0.0,0.6,0.131137
0.5,0.0,0.0,0.0,0.5,0.134851
0.6,0.0,0.0,0.0,0.4,0.169244
0.7,0.0,0.0,0.0,0.3,0.166202
0.8,0.0,0.0,0.0,0.2,0.184431
0.9,0.0,0.0,0.0,0.1,0.197478
0.0,0.0,0.9,0.1,0.0,0.068581
0.0,0.0,0.8,0.2,0.0,0.052495
0.0,0.0,0.7,0.3,0.0,0.039316
0.0,0.0,0.6,0.4,0.0,0.027342
0.0,0.0,0.5,0.5,0.0,0.027874
0.0,0.0,0.4,0.6,0.0,0.026506
0.0,0.0,0.3,0.7,0.0,0.022723
0.0,0.0,0.2,0.8,0.0,0.014554
0.0,0.0,0.1,0.9,0.0,0.001623
0.0,0.0,0.9,0.0,0.1,0.147488
0.0,0.0,0.8,0.0,0.2,0.158025
